ה	647291
ב	266822
ל	188594
ש	139931
ו	121627
או	89441
הוא	70370
של	67840
על	65962
מ	60180
את	49315
לפי	46804
כ	44465
לא	39948
_	34713
אמור	32904
כול	32890
הוראה	27935
זה	25488
רשאי	23325
סעיף	23198
היה	21132
עניין	21018
אם	20959
בית	20001
דין	19988
שר	19309
ועדה	16721
היא	16496
בעל	16302
קטן	15191
אחר	15080
רשות	15014
משפט	14525
יום	14467
ניתן	13662
חבר	13549
תקנה	12882
חוק	12690
אדם	12247
א	11956
מנהל	11779
שנה	11064
תקופה	10912
אינו	10479
רישיון	10376
כי	10305
בקשה	10049
מועצה	9810
מועד	9587
עובד	9549
קבע	9495
אישור	9413
כן	9335
עם	9091
מי	9051
צו	8657
סכום	8620
תנאי	8600
בין	8556
החלטה	8523
הודעה	8520
מקום	8477
יד	8299
לאחר	8291
לגבי	8214
חל	8200
עבודה	8179
נקבע	8154
כך	7989
ראש	7883
עד	7763
דבר	7660
תשלום	7591
דרך	7375
לפני	7319
אלא	7224
מדינה	6805
כלל	6791
שירות	6787
פה	6740
כתב	6635
תאגיד	6619
מוסד	6571
ישראל	6558
זכות	6073
קיבל	6006
פסק	5959
אין	5913
ביצוע	5904
ים	5799
יש	5749
הורה	5724
אחד	5718
נוסף	5678
חייב	5646
הוגש	5585
אף	5563
קיבע	5541
שם	5433
תפקיד	5419
נתן	5417
רשם	5381
פעולה	5370
הם	5303
זו	5281
מידע	5262
משנה	5226
הוצאה	5208
נכס	5186
אלה	5179
עבירה	5125
מקומי	5071
רכב	5059
כדי	5039
התאם	5037
בלבד	5004
פרט	4980
צורך	4970
תוכנית	4968
הכנסה	4880
מספר	4871
חשבון	4727
חלק	4684
חדש	4639
מתן	4638
בידי	4630
תחילה	4612
משרד	4554
הגיש	4549
אופן	4531
עסק	4518
קרן	4466
סמכות	4459
בשל	4436
ממונה	4404
מן	4401
דיון	4358
גוף	4334
כללי	4323
עלה	4316
מסמך	4286
ממשלה	4269
יושב	4173
רישום	4153
אותו	4134
הליך	4128
חודש	4115
שיעור	4082
סוג	4042
כאמור	4003
ציבור	3985
שימוש	3962
שינוי	3947
ערך	3887
כלי	3874
תעודה	3854
קיים	3749
גם	3729
בתוך	3723
הודיע	3702
פורט	3677
תחום	3645
נעשה	3609
קבלה	3566
מס	3538
כוח	3527
זכאי	3519
מיוחד	3517
החזיק	3505
הצעה	3494
שעה	3475
התקיים	3462
הגשה	3454
מסר	3449
נדרש	3423
אחת	3385
מבקש	3334
ביטחון	3310
נגע	3304
יותר	3290
שירותים	3279
חוב	3246
חובה	3221
נסיבה	3217
חוץ	3207
אישר	3203
שולם	3192
אוצר	3175
פרסום	3172
תוך	3145
כספי	3117
דרש	3098
דרישה	3098
ביקש	3093
לשם	3087
חברה	3077
נציג	3073
מילא	3069
מונה	3063
הגדרה	3025
לפחות	3014
כסף	3012
בדיקה	2981
ישיבה	2981
תום	2976
ציבורי	2921
אל	2913
ערעור	2900
מינה	2866
בן	2859
החליט	2843
זמן	2772
בעד	2750
אולם	2731
הסכמה	2729
לעניין	2728
רשימה	2726
סביר	2725
קבוע	2718
שילם	2713
הוסמך	2704
צד	2689
ג	2686
עשה	2672
דעה	2657
סדר	2635
דוח	2625
כפי	2624
נמצא	2621
אשר	2591
מקרקעין	2589
נמסר	2567
מינוי	2564
הן	2562
מפקח	2553
עת	2530
חומר	2502
נושא	2498
פעילות	2483
הראה	2482
תוקף	2482
יתר	2475
בחירה	2464
העביר	2462
שקל	2452
ניגוד	2439
לרבות	2421
התייעצות	2402
עמד	2401
בריאות	2397
בא	2391
ערר	2377
פועל	2363
קשר	2360
כנסת	2358
פנים	2357
רפואי	2353
היתר	2328
רב	2322
תביעה	2310
שימש	2308
פורסם	2303
משמעות	2302
עסקה	2287
שכר	2287
יכול	2283
אפשר	2269
קיום	2259
שידור	2253
באמצעות	2239
הסכם	2232
ניהל	2231
נרשם	2215
אזור	2185
שטח	2163
ראה	2156
חינוך	2148
דיווח	2135
כהונה	2133
התקבל	2131
הצבעה	2119
טענה	2119
ביצע	2115
מחיר	2113
מסוים	2113
פרסם	2108
שני	2095
העברה	2091
איש	2071
ילד	2069
טיפול	2064
הפעלה	2048
פקודה	2034
מזון	2008
גרע	2007
אחראי	2006
שינה	2006
אגרה	1992
הגיע	1990
ניהול	1971
מכירה	1969
להלן	1966
נגד	1960
משפטי	1954
אמצע	1940
קביעה	1922
מטרה	1916
מצא	1911
נתון	1908
מועמד	1906
אתר	1904
טעם	1904
קנס	1883
חקירה	1877
טובין	1876
תקציב	1875
מאסר	1873
פעל	1872
שלושה	1862
מסירה	1861
עדה	1831
מערכה	1814
פיסק	1806
מפעל	1801
עיצום	1798
פנקס	1782
ביטוח	1780
פיצוי	1779
מטעם	1756
מנה	1751
גורם	1750
ידיעה	1748
הפרה	1740
הגנה	1739
שליטה	1721
קצבה	1714
פיקוח	1709
עצמו	1706
רשום	1701
כש	1700
טיס	1691
משטרה	1685
